Category,Item,Value
Summary,TotalDecisions,2393
Summary,OrderedCount,2349
Summary,NotOrderedCount,44
Summary,OrderRatePercent,98.2
Summary,AverageAIConfidence,93.1
FinalSignal,BUY,1061
FinalSignal,HOLD,18
FinalSignal,SELL,1314
Ticker,4063.T,1
Ticker,6098.T,1
Ticker,6501.T,1
Ticker,6758.T,1
Ticker,6861.T,1
Ticker,7203.T,2384
Ticker,8035.T,1
Ticker,8306.T,1
Ticker,9432.T,1
Ticker,9984.T,1
Reason,AI信頼度が基準未満です。信頼度=65.0%、必要信頼度=70.0%,1
Reason,AI信頼度が基準未満です。信頼度=95.0%、必要信頼度=96.0%,1
Reason,AI最終判定,2065
Reason,Time Stop,284
Reason,テクニカル判定がHOLDのため、最終判定もHOLDです。,14
Reason,テクニカル判定とAI判定がともにBUYで一致し、AI信頼度も95.0%あります。,18
Reason,テクニカル判定とAI判定がともにSELLで一致し、AI信頼度も95.0%あります。,8
Reason,テクニカル判定とAI判定が一致しないため、安全側でHOLDとします。,2
NotOrderedReason,AI信頼度が基準未満です。信頼度=65.0%、必要信頼度=70.0%,1
NotOrderedReason,AI信頼度が基準未満です。信頼度=95.0%、必要信頼度=96.0%,1
NotOrderedReason,テクニカル判定がHOLDのため、最終判定もHOLDです。,14
NotOrderedReason,テクニカル判定とAI判定がともにBUYで一致し、AI信頼度も95.0%あります。,18
NotOrderedReason,テクニカル判定とAI判定がともにSELLで一致し、AI信頼度も95.0%あります。,8
NotOrderedReason,テクニカル判定とAI判定が一致しないため、安全側でHOLDとします。,2
